2025-03-04 23:06:33,216 - Connected to machine on port 5001
2025-03-04 23:06:33,220 - Connected to machine on port 5003
2025-03-04 23:06:33,220 - Machine 1 starting with clock rate 4
2025-03-04 23:06:33,222 - SEND event to port 5001, logical clock: 1
2025-03-04 23:06:33,473 - RECEIVE event, queue length: 1, logical clock: 2
2025-03-04 23:06:33,728 - RECEIVE event, queue length: 0, logical clock: 3
2025-03-04 23:06:33,979 - RECEIVE event, queue length: 1, logical clock: 5
2025-03-04 23:06:34,234 - RECEIVE event, queue length: 1, logical clock: 6
2025-03-04 23:06:34,487 - RECEIVE event, queue length: 0, logical clock: 7
2025-03-04 23:06:34,738 - RECEIVE event, queue length: 0, logical clock: 10
2025-03-04 23:06:34,993 - SEND event to ALL machines, logical clock: 11
2025-03-04 23:06:35,246 - SEND event to ALL machines, logical clock: 12
2025-03-04 23:06:35,501 - SEND event to port 5001, logical clock: 13
2025-03-04 23:06:35,755 - RECEIVE event, queue length: 0, logical clock: 16
2025-03-04 23:06:36,010 - RECEIVE event, queue length: 0, logical clock: 17
2025-03-04 23:06:36,263 - RECEIVE event, queue length: 0, logical clock: 19
2025-03-04 23:06:36,514 - RECEIVE event, queue length: 1, logical clock: 20
2025-03-04 23:06:36,768 - RECEIVE event, queue length: 0, logical clock: 21
2025-03-04 23:06:37,022 - RECEIVE event, queue length: 0, logical clock: 23
2025-03-04 23:06:37,274 - SEND event to port 5001, logical clock: 24
2025-03-04 23:06:37,528 - RECEIVE event, queue length: 0, logical clock: 27
2025-03-04 23:06:37,783 - RECEIVE event, queue length: 0, logical clock: 28
2025-03-04 23:06:38,038 - RECEIVE event, queue length: 0, logical clock: 29
2025-03-04 23:06:38,293 - RECEIVE event, queue length: 0, logical clock: 31
2025-03-04 23:06:38,548 - RECEIVE event, queue length: 0, logical clock: 33
2025-03-04 23:06:38,800 - SEND event to port 5001, logical clock: 34
2025-03-04 23:06:39,055 - RECEIVE event, queue length: 0, logical clock: 36
2025-03-04 23:06:39,308 - RECEIVE event, queue length: 0, logical clock: 37
2025-03-04 23:06:39,563 - RECEIVE event, queue length: 0, logical clock: 39
2025-03-04 23:06:39,818 - SEND event to port 5001, logical clock: 40
2025-03-04 23:06:40,071 - RECEIVE event, queue length: 1, logical clock: 41
2025-03-04 23:06:40,326 - RECEIVE event, queue length: 1, logical clock: 42
2025-03-04 23:06:40,581 - RECEIVE event, queue length: 1, logical clock: 43
2025-03-04 23:06:40,834 - RECEIVE event, queue length: 1, logical clock: 44
2025-03-04 23:06:41,087 - RECEIVE event, queue length: 1, logical clock: 46
2025-03-04 23:06:41,342 - RECEIVE event, queue length: 1, logical clock: 48
2025-03-04 23:06:41,595 - RECEIVE event, queue length: 2, logical clock: 49
2025-03-04 23:06:41,851 - RECEIVE event, queue length: 2, logical clock: 50
2025-03-04 23:06:42,103 - RECEIVE event, queue length: 2, logical clock: 51
2025-03-04 23:06:42,356 - RECEIVE event, queue length: 2, logical clock: 52
2025-03-04 23:06:42,607 - RECEIVE event, queue length: 2, logical clock: 53
2025-03-04 23:06:42,862 - RECEIVE event, queue length: 2, logical clock: 55
2025-03-04 23:06:43,112 - RECEIVE event, queue length: 1, logical clock: 56
2025-03-04 23:06:43,363 - RECEIVE event, queue length: 2, logical clock: 57
2025-03-04 23:06:43,615 - RECEIVE event, queue length: 2, logical clock: 60
2025-03-04 23:06:43,870 - RECEIVE event, queue length: 3, logical clock: 61
2025-03-04 23:06:44,125 - RECEIVE event, queue length: 2, logical clock: 62
2025-03-04 23:06:44,376 - RECEIVE event, queue length: 3, logical clock: 63
2025-03-04 23:06:44,626 - RECEIVE event, queue length: 3, logical clock: 64
2025-03-04 23:06:44,879 - RECEIVE event, queue length: 3, logical clock: 66
2025-03-04 23:06:45,131 - RECEIVE event, queue length: 2, logical clock: 67
2025-03-04 23:06:45,384 - RECEIVE event, queue length: 3, logical clock: 68
2025-03-04 23:06:45,639 - RECEIVE event, queue length: 3, logical clock: 69
2025-03-04 23:06:45,894 - RECEIVE event, queue length: 4, logical clock: 72
2025-03-04 23:06:46,149 - RECEIVE event, queue length: 3, logical clock: 73
2025-03-04 23:06:46,404 - RECEIVE event, queue length: 3, logical clock: 74
2025-03-04 23:06:46,659 - RECEIVE event, queue length: 3, logical clock: 75
2025-03-04 23:06:46,913 - RECEIVE event, queue length: 4, logical clock: 76
2025-03-04 23:06:47,164 - RECEIVE event, queue length: 3, logical clock: 78
2025-03-04 23:06:47,416 - RECEIVE event, queue length: 4, logical clock: 80
2025-03-04 23:06:47,667 - RECEIVE event, queue length: 3, logical clock: 81
2025-03-04 23:06:47,922 - RECEIVE event, queue length: 3, logical clock: 82
2025-03-04 23:06:48,177 - RECEIVE event, queue length: 3, logical clock: 84
2025-03-04 23:06:48,428 - RECEIVE event, queue length: 2, logical clock: 85
2025-03-04 23:06:48,683 - RECEIVE event, queue length: 2, logical clock: 87
2025-03-04 23:06:48,938 - RECEIVE event, queue length: 3, logical clock: 89
2025-03-04 23:06:49,193 - RECEIVE event, queue length: 3, logical clock: 92
2025-03-04 23:06:49,446 - RECEIVE event, queue length: 4, logical clock: 93
2025-03-04 23:06:49,701 - RECEIVE event, queue length: 4, logical clock: 94
2025-03-04 23:06:49,955 - RECEIVE event, queue length: 3, logical clock: 95
2025-03-04 23:06:50,209 - RECEIVE event, queue length: 2, logical clock: 96
2025-03-04 23:06:50,459 - RECEIVE event, queue length: 3, logical clock: 97
2025-03-04 23:06:50,714 - RECEIVE event, queue length: 3, logical clock: 98
2025-03-04 23:06:50,968 - RECEIVE event, queue length: 3, logical clock: 102
2025-03-04 23:06:51,223 - RECEIVE event, queue length: 3, logical clock: 103
2025-03-04 23:06:51,478 - RECEIVE event, queue length: 3, logical clock: 104
2025-03-04 23:06:51,732 - RECEIVE event, queue length: 2, logical clock: 105
2025-03-04 23:06:51,987 - RECEIVE event, queue length: 3, logical clock: 107
2025-03-04 23:06:52,242 - RECEIVE event, queue length: 2, logical clock: 109
2025-03-04 23:06:52,496 - RECEIVE event, queue length: 2, logical clock: 111
2025-03-04 23:06:52,751 - RECEIVE event, queue length: 2, logical clock: 112
2025-03-04 23:06:53,004 - RECEIVE event, queue length: 1, logical clock: 114
2025-03-04 23:06:53,259 - RECEIVE event, queue length: 1, logical clock: 116
2025-03-04 23:06:53,514 - RECEIVE event, queue length: 1, logical clock: 118
2025-03-04 23:06:53,764 - RECEIVE event, queue length: 1, logical clock: 120
2025-03-04 23:06:54,018 - RECEIVE event, queue length: 1, logical clock: 121
2025-03-04 23:06:54,270 - RECEIVE event, queue length: 1, logical clock: 123
2025-03-04 23:06:54,525 - RECEIVE event, queue length: 1, logical clock: 124
2025-03-04 23:06:54,780 - RECEIVE event, queue length: 0, logical clock: 126
2025-03-04 23:06:55,032 - RECEIVE event, queue length: 0, logical clock: 129
2025-03-04 23:06:55,284 - RECEIVE event, queue length: 1, logical clock: 130
2025-03-04 23:06:55,535 - RECEIVE event, queue length: 1, logical clock: 131
2025-03-04 23:06:55,790 - RECEIVE event, queue length: 1, logical clock: 132
2025-03-04 23:06:56,045 - RECEIVE event, queue length: 1, logical clock: 134
2025-03-04 23:06:56,300 - RECEIVE event, queue length: 1, logical clock: 135
2025-03-04 23:06:56,555 - RECEIVE event, queue length: 1, logical clock: 136
2025-03-04 23:06:56,810 - RECEIVE event, queue length: 0, logical clock: 138
2025-03-04 23:06:57,065 - SEND event to port 5003, logical clock: 139
2025-03-04 23:06:57,320 - RECEIVE event, queue length: 0, logical clock: 143
2025-03-04 23:06:57,572 - SEND event to ALL machines, logical clock: 144
2025-03-04 23:06:57,826 - RECEIVE event, queue length: 0, logical clock: 147
2025-03-04 23:06:58,082 - RECEIVE event, queue length: 0, logical clock: 148
2025-03-04 23:06:58,333 - RECEIVE event, queue length: 0, logical clock: 150
2025-03-04 23:06:58,585 - RECEIVE event, queue length: 0, logical clock: 151
2025-03-04 23:06:58,840 - RECEIVE event, queue length: 1, logical clock: 152
2025-03-04 23:06:59,095 - RECEIVE event, queue length: 0, logical clock: 153
2025-03-04 23:06:59,347 - RECEIVE event, queue length: 1, logical clock: 155
2025-03-04 23:06:59,599 - RECEIVE event, queue length: 1, logical clock: 156
2025-03-04 23:06:59,851 - RECEIVE event, queue length: 1, logical clock: 157
2025-03-04 23:07:00,101 - RECEIVE event, queue length: 1, logical clock: 158
2025-03-04 23:07:00,354 - RECEIVE event, queue length: 1, logical clock: 160
2025-03-04 23:07:00,609 - RECEIVE event, queue length: 0, logical clock: 162
2025-03-04 23:07:00,863 - RECEIVE event, queue length: 0, logical clock: 164
2025-03-04 23:07:01,116 - SEND event to ALL machines, logical clock: 165
2025-03-04 23:07:01,371 - SEND event to ALL machines, logical clock: 166
2025-03-04 23:07:01,627 - SEND event to ALL machines, logical clock: 167
2025-03-04 23:07:01,877 - SEND event to port 5003, logical clock: 168
2025-03-04 23:07:02,129 - SEND event to port 5003, logical clock: 169
2025-03-04 23:07:02,384 - SEND event to port 5001, logical clock: 170
2025-03-04 23:07:02,639 - RECEIVE event, queue length: 1, logical clock: 174
2025-03-04 23:07:02,894 - RECEIVE event, queue length: 1, logical clock: 175
2025-03-04 23:07:03,149 - RECEIVE event, queue length: 2, logical clock: 176
2025-03-04 23:07:03,404 - RECEIVE event, queue length: 2, logical clock: 177
2025-03-04 23:07:03,659 - RECEIVE event, queue length: 1, logical clock: 178
2025-03-04 23:07:03,914 - RECEIVE event, queue length: 0, logical clock: 179
2025-03-04 23:07:04,169 - RECEIVE event, queue length: 0, logical clock: 184
2025-03-04 23:07:04,424 - RECEIVE event, queue length: 0, logical clock: 185
2025-03-04 23:07:04,678 - RECEIVE event, queue length: 0, logical clock: 187
2025-03-04 23:07:04,929 - RECEIVE event, queue length: 0, logical clock: 188
2025-03-04 23:07:05,184 - RECEIVE event, queue length: 0, logical clock: 189
2025-03-04 23:07:05,434 - RECEIVE event, queue length: 0, logical clock: 191
2025-03-04 23:07:05,684 - RECEIVE event, queue length: 0, logical clock: 193
2025-03-04 23:07:05,939 - RECEIVE event, queue length: 0, logical clock: 194
2025-03-04 23:07:06,195 - RECEIVE event, queue length: 1, logical clock: 195
2025-03-04 23:07:06,449 - RECEIVE event, queue length: 1, logical clock: 196
2025-03-04 23:07:06,704 - RECEIVE event, queue length: 0, logical clock: 197
2025-03-04 23:07:06,959 - RECEIVE event, queue length: 0, logical clock: 200
2025-03-04 23:07:07,211 - RECEIVE event, queue length: 0, logical clock: 201
2025-03-04 23:07:07,466 - RECEIVE event, queue length: 0, logical clock: 203
2025-03-04 23:07:07,719 - RECEIVE event, queue length: 1, logical clock: 204
2025-03-04 23:07:07,974 - RECEIVE event, queue length: 0, logical clock: 205
2025-03-04 23:07:08,226 - RECEIVE event, queue length: 0, logical clock: 207
2025-03-04 23:07:08,479 - RECEIVE event, queue length: 0, logical clock: 209
2025-03-04 23:07:08,734 - RECEIVE event, queue length: 0, logical clock: 210
2025-03-04 23:07:08,989 - SEND event to port 5003, logical clock: 211
2025-03-04 23:07:09,244 - SEND event to ALL machines, logical clock: 212
2025-03-04 23:07:09,499 - SEND event to port 5003, logical clock: 213
2025-03-04 23:07:09,752 - INTERNAL event, logical clock: 214
2025-03-04 23:07:10,007 - RECEIVE event, queue length: 0, logical clock: 218
2025-03-04 23:07:10,262 - RECEIVE event, queue length: 1, logical clock: 219
2025-03-04 23:07:10,517 - RECEIVE event, queue length: 1, logical clock: 220
2025-03-04 23:07:10,772 - RECEIVE event, queue length: 2, logical clock: 221
2025-03-04 23:07:11,026 - RECEIVE event, queue length: 1, logical clock: 222
2025-03-04 23:07:11,279 - RECEIVE event, queue length: 1, logical clock: 223
2025-03-04 23:07:11,534 - RECEIVE event, queue length: 0, logical clock: 226
2025-03-04 23:07:11,787 - RECEIVE event, queue length: 1, logical clock: 228
2025-03-04 23:07:12,039 - RECEIVE event, queue length: 1, logical clock: 229
2025-03-04 23:07:12,294 - RECEIVE event, queue length: 1, logical clock: 230
