2025-03-04 23:07:44,202 - Connected to machine on port 5001
2025-03-04 23:07:44,203 - Connected to machine on port 5002
2025-03-04 23:07:44,203 - Machine 2 starting with clock rate 2
2025-03-04 23:07:44,204 - SEND event to ALL machines, logical clock: 1
2025-03-04 23:07:44,709 - RECEIVE event, queue length: 0, logical clock: 5
2025-03-04 23:07:45,214 - RECEIVE event, queue length: 1, logical clock: 6
2025-03-04 23:07:45,719 - RECEIVE event, queue length: 1, logical clock: 7
2025-03-04 23:07:46,220 - RECEIVE event, queue length: 0, logical clock: 10
2025-03-04 23:07:46,725 - RECEIVE event, queue length: 1, logical clock: 13
2025-03-04 23:07:47,230 - RECEIVE event, queue length: 1, logical clock: 14
2025-03-04 23:07:47,733 - RECEIVE event, queue length: 2, logical clock: 16
2025-03-04 23:07:48,238 - RECEIVE event, queue length: 2, logical clock: 19
2025-03-04 23:07:48,742 - RECEIVE event, queue length: 4, logical clock: 20
2025-03-04 23:07:49,246 - RECEIVE event, queue length: 4, logical clock: 22
2025-03-04 23:07:49,749 - RECEIVE event, queue length: 4, logical clock: 23
2025-03-04 23:07:50,254 - RECEIVE event, queue length: 5, logical clock: 24
2025-03-04 23:07:50,758 - RECEIVE event, queue length: 6, logical clock: 25
2025-03-04 23:07:51,263 - RECEIVE event, queue length: 7, logical clock: 26
2025-03-04 23:07:51,768 - RECEIVE event, queue length: 8, logical clock: 29
2025-03-04 23:07:52,273 - RECEIVE event, queue length: 7, logical clock: 31
2025-03-04 23:07:52,778 - RECEIVE event, queue length: 8, logical clock: 32
2025-03-04 23:07:53,282 - RECEIVE event, queue length: 9, logical clock: 34
2025-03-04 23:07:53,783 - RECEIVE event, queue length: 9, logical clock: 35
2025-03-04 23:07:54,287 - RECEIVE event, queue length: 8, logical clock: 36
2025-03-04 23:07:54,792 - RECEIVE event, queue length: 8, logical clock: 37
2025-03-04 23:07:55,293 - RECEIVE event, queue length: 10, logical clock: 38
2025-03-04 23:07:55,794 - RECEIVE event, queue length: 9, logical clock: 40
2025-03-04 23:07:56,299 - RECEIVE event, queue length: 8, logical clock: 43
2025-03-04 23:07:56,804 - RECEIVE event, queue length: 9, logical clock: 45
2025-03-04 23:07:57,304 - RECEIVE event, queue length: 10, logical clock: 46
2025-03-04 23:07:57,807 - RECEIVE event, queue length: 11, logical clock: 47
2025-03-04 23:07:58,308 - RECEIVE event, queue length: 12, logical clock: 49
2025-03-04 23:07:58,809 - RECEIVE event, queue length: 11, logical clock: 53
2025-03-04 23:07:59,314 - RECEIVE event, queue length: 12, logical clock: 55
2025-03-04 23:07:59,819 - RECEIVE event, queue length: 11, logical clock: 56
2025-03-04 23:08:00,324 - RECEIVE event, queue length: 11, logical clock: 57
