2025-03-04 19:55:33,019 - Connected to machine on port 5001
2025-03-04 19:55:33,021 - Connected to machine on port 5003
2025-03-04 19:55:33,024 - Machine 1 starting with clock rate 2
2025-03-04 19:55:33,024 - INTERNAL event, logical clock: 1
2025-03-04 19:55:33,529 - RECEIVE event, queue length: 0, logical clock: 4
2025-03-04 19:55:34,034 - INTERNAL event, logical clock: 5
2025-03-04 19:55:34,539 - RECEIVE event, queue length: 0, logical clock: 10
2025-03-04 19:55:35,039 - SEND event to port 5003, logical clock: 11
2025-03-04 19:55:35,544 - RECEIVE event, queue length: 0, logical clock: 15
2025-03-04 19:55:36,046 - INTERNAL event, logical clock: 16
2025-03-04 19:55:36,551 - INTERNAL event, logical clock: 17
2025-03-04 19:55:37,056 - INTERNAL event, logical clock: 18
2025-03-04 19:55:37,561 - RECEIVE event, queue length: 0, logical clock: 30
2025-03-04 19:55:38,064 - RECEIVE event, queue length: 0, logical clock: 31
2025-03-04 19:55:38,569 - RECEIVE event, queue length: 0, logical clock: 35
2025-03-04 19:55:39,069 - RECEIVE event, queue length: 1, logical clock: 37
2025-03-04 19:55:39,574 - RECEIVE event, queue length: 0, logical clock: 38
2025-03-04 19:55:40,079 - RECEIVE event, queue length: 0, logical clock: 43
2025-03-04 19:55:40,584 - RECEIVE event, queue length: 0, logical clock: 48
2025-03-04 19:55:41,089 - INTERNAL event, logical clock: 49
2025-03-04 19:55:41,591 - INTERNAL event, logical clock: 50
2025-03-04 19:55:42,096 - RECEIVE event, queue length: 2, logical clock: 57
2025-03-04 19:55:42,598 - RECEIVE event, queue length: 2, logical clock: 58
2025-03-04 19:55:43,099 - RECEIVE event, queue length: 3, logical clock: 59
2025-03-04 19:55:43,600 - RECEIVE event, queue length: 3, logical clock: 61
2025-03-04 19:55:44,105 - RECEIVE event, queue length: 2, logical clock: 63
2025-03-04 19:55:44,605 - RECEIVE event, queue length: 2, logical clock: 66
2025-03-04 19:55:45,108 - RECEIVE event, queue length: 2, logical clock: 69
2025-03-04 19:55:45,612 - RECEIVE event, queue length: 5, logical clock: 73
2025-03-04 19:55:46,117 - RECEIVE event, queue length: 6, logical clock: 76
2025-03-04 19:55:46,620 - RECEIVE event, queue length: 6, logical clock: 78
2025-03-04 19:55:47,125 - RECEIVE event, queue length: 6, logical clock: 79
2025-03-04 19:55:47,630 - RECEIVE event, queue length: 7, logical clock: 80
2025-03-04 19:55:48,135 - RECEIVE event, queue length: 9, logical clock: 81
2025-03-04 19:55:48,635 - RECEIVE event, queue length: 9, logical clock: 82
2025-03-04 19:55:49,140 - RECEIVE event, queue length: 8, logical clock: 83
2025-03-04 19:55:49,643 - RECEIVE event, queue length: 8, logical clock: 85
2025-03-04 19:55:50,145 - RECEIVE event, queue length: 8, logical clock: 88
2025-03-04 19:55:50,650 - RECEIVE event, queue length: 7, logical clock: 91
2025-03-04 19:55:51,155 - RECEIVE event, queue length: 6, logical clock: 92
2025-03-04 19:55:51,660 - RECEIVE event, queue length: 5, logical clock: 93
2025-03-04 19:55:52,165 - RECEIVE event, queue length: 6, logical clock: 94
2025-03-04 19:55:52,670 - RECEIVE event, queue length: 6, logical clock: 96
2025-03-04 19:55:53,173 - RECEIVE event, queue length: 5, logical clock: 97
2025-03-04 19:55:53,675 - RECEIVE event, queue length: 6, logical clock: 104
2025-03-04 19:55:54,180 - RECEIVE event, queue length: 5, logical clock: 107
2025-03-04 19:55:54,685 - RECEIVE event, queue length: 5, logical clock: 119
2025-03-04 19:55:55,185 - RECEIVE event, queue length: 4, logical clock: 120
2025-03-04 19:55:55,690 - RECEIVE event, queue length: 3, logical clock: 124
2025-03-04 19:55:56,190 - RECEIVE event, queue length: 4, logical clock: 130
2025-03-04 19:55:56,696 - RECEIVE event, queue length: 4, logical clock: 131
2025-03-04 19:55:57,200 - RECEIVE event, queue length: 6, logical clock: 136
2025-03-04 19:55:57,705 - RECEIVE event, queue length: 6, logical clock: 145
2025-03-04 19:55:58,205 - RECEIVE event, queue length: 6, logical clock: 146
2025-03-04 19:55:58,706 - RECEIVE event, queue length: 5, logical clock: 150
2025-03-04 19:55:59,211 - RECEIVE event, queue length: 4, logical clock: 152
2025-03-04 19:55:59,714 - RECEIVE event, queue length: 4, logical clock: 153
2025-03-04 19:56:00,219 - RECEIVE event, queue length: 7, logical clock: 154
2025-03-04 19:56:00,719 - RECEIVE event, queue length: 7, logical clock: 156
2025-03-04 19:56:01,224 - RECEIVE event, queue length: 7, logical clock: 159
2025-03-04 19:56:01,729 - RECEIVE event, queue length: 8, logical clock: 166
2025-03-04 19:56:02,232 - RECEIVE event, queue length: 8, logical clock: 170
2025-03-04 19:56:02,733 - RECEIVE event, queue length: 9, logical clock: 171
2025-03-04 19:56:03,234 - RECEIVE event, queue length: 9, logical clock: 172
2025-03-04 19:56:03,739 - RECEIVE event, queue length: 9, logical clock: 173
2025-03-04 19:56:04,244 - RECEIVE event, queue length: 8, logical clock: 174
2025-03-04 19:56:04,744 - RECEIVE event, queue length: 7, logical clock: 177
2025-03-04 19:56:05,247 - RECEIVE event, queue length: 6, logical clock: 181
2025-03-04 19:56:05,752 - RECEIVE event, queue length: 6, logical clock: 182
2025-03-04 19:56:06,254 - RECEIVE event, queue length: 6, logical clock: 184
2025-03-04 19:56:06,757 - RECEIVE event, queue length: 7, logical clock: 187
