2025-03-04 21:23:58,264 - Connected to machine on port 5001
2025-03-04 21:23:58,267 - Connected to machine on port 5002
2025-03-04 21:23:58,268 - Machine 2 starting with clock rate 6
2025-03-04 21:23:58,268 - SEND event to port 5001, logical clock: 1
2025-03-04 21:23:58,440 - RECEIVE event, queue length: 1, logical clock: 2
2025-03-04 21:23:58,611 - RECEIVE event, queue length: 0, logical clock: 3
2025-03-04 21:23:58,780 - INTERNAL event, logical clock: 4
2025-03-04 21:23:58,951 - SEND event to ALL machines, logical clock: 5
2025-03-04 21:23:59,121 - SEND event to port 5002, logical clock: 6
2025-03-04 21:23:59,289 - SEND event to port 5001, logical clock: 7
2025-03-04 21:23:59,458 - INTERNAL event, logical clock: 8
2025-03-04 21:23:59,630 - SEND event to port 5001, logical clock: 9
2025-03-04 21:23:59,801 - SEND event to port 5002, logical clock: 10
2025-03-04 21:23:59,969 - SEND event to port 5002, logical clock: 11
2025-03-04 21:24:00,138 - SEND event to ALL machines, logical clock: 12
2025-03-04 21:24:00,306 - SEND event to ALL machines, logical clock: 13
2025-03-04 21:24:00,476 - SEND event to port 5002, logical clock: 14
2025-03-04 21:24:00,646 - SEND event to port 5002, logical clock: 15
2025-03-04 21:24:00,818 - RECEIVE event, queue length: 0, logical clock: 16
2025-03-04 21:24:00,986 - SEND event to ALL machines, logical clock: 17
2025-03-04 21:24:01,157 - INTERNAL event, logical clock: 18
2025-03-04 21:24:01,328 - RECEIVE event, queue length: 0, logical clock: 20
2025-03-04 21:24:01,498 - SEND event to ALL machines, logical clock: 21
2025-03-04 21:24:01,668 - SEND event to ALL machines, logical clock: 22
2025-03-04 21:24:01,839 - SEND event to port 5001, logical clock: 23
2025-03-04 21:24:02,011 - SEND event to port 5001, logical clock: 24
2025-03-04 21:24:02,180 - INTERNAL event, logical clock: 25
2025-03-04 21:24:02,350 - SEND event to port 5001, logical clock: 26
2025-03-04 21:24:02,520 - SEND event to ALL machines, logical clock: 27
2025-03-04 21:24:02,692 - SEND event to port 5002, logical clock: 28
2025-03-04 21:24:02,863 - SEND event to ALL machines, logical clock: 29
2025-03-04 21:24:03,035 - SEND event to port 5001, logical clock: 30
2025-03-04 21:24:03,203 - SEND event to port 5002, logical clock: 31
2025-03-04 21:24:03,375 - SEND event to port 5001, logical clock: 32
2025-03-04 21:24:03,547 - SEND event to port 5001, logical clock: 33
2025-03-04 21:24:03,716 - SEND event to port 5002, logical clock: 34
2025-03-04 21:24:03,887 - SEND event to port 5002, logical clock: 35
2025-03-04 21:24:04,059 - SEND event to ALL machines, logical clock: 36
2025-03-04 21:24:04,227 - SEND event to port 5002, logical clock: 37
2025-03-04 21:24:04,399 - SEND event to ALL machines, logical clock: 38
2025-03-04 21:24:04,571 - SEND event to port 5001, logical clock: 39
2025-03-04 21:24:04,738 - SEND event to port 5002, logical clock: 40
2025-03-04 21:24:04,909 - SEND event to port 5002, logical clock: 41
2025-03-04 21:24:05,078 - SEND event to port 5001, logical clock: 42
2025-03-04 21:24:05,249 - SEND event to port 5002, logical clock: 43
2025-03-04 21:24:05,417 - SEND event to port 5001, logical clock: 44
2025-03-04 21:24:05,585 - SEND event to ALL machines, logical clock: 45
2025-03-04 21:24:05,757 - SEND event to port 5002, logical clock: 46
2025-03-04 21:24:05,928 - SEND event to port 5001, logical clock: 47
2025-03-04 21:24:06,096 - SEND event to ALL machines, logical clock: 48
2025-03-04 21:24:06,266 - SEND event to ALL machines, logical clock: 49
2025-03-04 21:24:06,438 - SEND event to port 5001, logical clock: 50
2025-03-04 21:24:06,610 - SEND event to ALL machines, logical clock: 51
2025-03-04 21:24:06,780 - SEND event to ALL machines, logical clock: 52
2025-03-04 21:24:06,951 - SEND event to ALL machines, logical clock: 53
2025-03-04 21:24:07,123 - SEND event to port 5002, logical clock: 54
2025-03-04 21:24:07,295 - SEND event to ALL machines, logical clock: 55
2025-03-04 21:24:07,466 - SEND event to ALL machines, logical clock: 56
2025-03-04 21:24:07,638 - SEND event to port 5002, logical clock: 57
