2025-03-04 21:25:00,280 - Connected to machine on port 5002
2025-03-04 21:25:00,283 - Connected to machine on port 5003
2025-03-04 21:25:00,284 - Machine 0 starting with clock rate 1
2025-03-04 21:25:00,284 - SEND event to port 5003, logical clock: 1
2025-03-04 21:25:01,286 - RECEIVE event, queue length: 2, logical clock: 2
2025-03-04 21:25:02,291 - RECEIVE event, queue length: 4, logical clock: 3
2025-03-04 21:25:03,296 - RECEIVE event, queue length: 8, logical clock: 5
2025-03-04 21:25:04,300 - RECEIVE event, queue length: 11, logical clock: 10
2025-03-04 21:25:05,305 - RECEIVE event, queue length: 15, logical clock: 11
2025-03-04 21:25:06,308 - RECEIVE event, queue length: 19, logical clock: 13
2025-03-04 21:25:07,313 - RECEIVE event, queue length: 23, logical clock: 14
2025-03-04 21:25:08,314 - RECEIVE event, queue length: 24, logical clock: 16
2025-03-04 21:25:09,315 - RECEIVE event, queue length: 28, logical clock: 17
2025-03-04 21:25:10,320 - RECEIVE event, queue length: 29, logical clock: 18
2025-03-04 21:25:11,324 - RECEIVE event, queue length: 33, logical clock: 19
2025-03-04 21:25:12,329 - RECEIVE event, queue length: 36, logical clock: 21
2025-03-04 21:25:13,334 - RECEIVE event, queue length: 38, logical clock: 22
2025-03-04 21:25:14,337 - RECEIVE event, queue length: 41, logical clock: 23
2025-03-04 21:25:15,342 - RECEIVE event, queue length: 44, logical clock: 24
2025-03-04 21:25:16,346 - RECEIVE event, queue length: 47, logical clock: 26
2025-03-04 21:25:17,351 - RECEIVE event, queue length: 50, logical clock: 27
2025-03-04 21:25:18,352 - RECEIVE event, queue length: 52, logical clock: 28
2025-03-04 21:25:19,357 - RECEIVE event, queue length: 56, logical clock: 29
2025-03-04 21:25:20,362 - RECEIVE event, queue length: 57, logical clock: 31
2025-03-04 21:25:21,367 - RECEIVE event, queue length: 58, logical clock: 32
2025-03-04 21:25:22,370 - RECEIVE event, queue length: 58, logical clock: 33
2025-03-04 21:25:23,374 - RECEIVE event, queue length: 60, logical clock: 35
2025-03-04 21:25:24,376 - RECEIVE event, queue length: 63, logical clock: 36
2025-03-04 21:25:25,380 - RECEIVE event, queue length: 66, logical clock: 37
2025-03-04 21:25:26,385 - RECEIVE event, queue length: 67, logical clock: 39
2025-03-04 21:25:27,388 - RECEIVE event, queue length: 70, logical clock: 40
2025-03-04 21:25:28,392 - RECEIVE event, queue length: 74, logical clock: 41
2025-03-04 21:25:29,397 - RECEIVE event, queue length: 78, logical clock: 42
2025-03-04 21:25:30,402 - RECEIVE event, queue length: 80, logical clock: 43
2025-03-04 21:25:31,407 - RECEIVE event, queue length: 82, logical clock: 44
2025-03-04 21:25:32,410 - RECEIVE event, queue length: 84, logical clock: 46
2025-03-04 21:25:33,415 - RECEIVE event, queue length: 87, logical clock: 50
2025-03-04 21:25:34,420 - RECEIVE event, queue length: 88, logical clock: 51
2025-03-04 21:25:35,425 - RECEIVE event, queue length: 89, logical clock: 52
2025-03-04 21:25:36,429 - RECEIVE event, queue length: 92, logical clock: 53
2025-03-04 21:25:37,433 - RECEIVE event, queue length: 94, logical clock: 54
2025-03-04 21:25:38,438 - RECEIVE event, queue length: 97, logical clock: 55
2025-03-04 21:25:39,443 - RECEIVE event, queue length: 100, logical clock: 57
2025-03-04 21:25:40,444 - RECEIVE event, queue length: 104, logical clock: 62
2025-03-04 21:25:41,449 - RECEIVE event, queue length: 107, logical clock: 63
2025-03-04 21:25:42,454 - RECEIVE event, queue length: 111, logical clock: 64
2025-03-04 21:25:43,456 - RECEIVE event, queue length: 112, logical clock: 65
2025-03-04 21:25:44,461 - RECEIVE event, queue length: 116, logical clock: 66
2025-03-04 21:25:45,466 - RECEIVE event, queue length: 118, logical clock: 67
2025-03-04 21:25:46,467 - RECEIVE event, queue length: 119, logical clock: 69
2025-03-04 21:25:47,472 - RECEIVE event, queue length: 120, logical clock: 70
2025-03-04 21:25:48,477 - RECEIVE event, queue length: 122, logical clock: 72
2025-03-04 21:25:49,482 - RECEIVE event, queue length: 124, logical clock: 73
2025-03-04 21:25:50,485 - RECEIVE event, queue length: 126, logical clock: 74
2025-03-04 21:25:51,490 - RECEIVE event, queue length: 130, logical clock: 76
2025-03-04 21:25:52,495 - RECEIVE event, queue length: 132, logical clock: 79
2025-03-04 21:25:53,495 - RECEIVE event, queue length: 131, logical clock: 82
2025-03-04 21:25:54,500 - RECEIVE event, queue length: 133, logical clock: 83
2025-03-04 21:25:55,505 - RECEIVE event, queue length: 136, logical clock: 84
2025-03-04 21:25:56,507 - RECEIVE event, queue length: 138, logical clock: 85
2025-03-04 21:25:57,508 - RECEIVE event, queue length: 140, logical clock: 87
2025-03-04 21:25:58,274 - Machine 0 stopped. Final logical clock: 87
