2025-03-05 16:32:54,571 - Connected to machine on port 5002
2025-03-05 16:32:54,579 - Connected to machine on port 5003
2025-03-05 16:32:54,580 - Machine 0 starting with clock rate 1
2025-03-05 16:32:54,581 - SEND event to ALL machines, logical clock: 1
2025-03-05 16:32:55,583 - RECEIVE event, queue length: 0, logical clock: 7
2025-03-05 16:32:56,589 - SEND event to port 5002, logical clock: 8
2025-03-05 16:32:57,589 - RECEIVE event, queue length: 0, logical clock: 18
2025-03-05 16:32:58,594 - SEND event to port 5003, logical clock: 19
2025-03-05 16:32:59,599 - RECEIVE event, queue length: 1, logical clock: 27
2025-03-05 16:33:00,604 - RECEIVE event, queue length: 2, logical clock: 29
2025-03-05 16:33:01,609 - RECEIVE event, queue length: 3, logical clock: 32
2025-03-05 16:33:02,612 - RECEIVE event, queue length: 6, logical clock: 34
2025-03-05 16:33:03,617 - RECEIVE event, queue length: 5, logical clock: 40
2025-03-05 16:33:04,622 - RECEIVE event, queue length: 5, logical clock: 42
2025-03-05 16:33:05,627 - RECEIVE event, queue length: 5, logical clock: 45
2025-03-05 16:33:06,632 - RECEIVE event, queue length: 4, logical clock: 46
2025-03-05 16:33:07,636 - RECEIVE event, queue length: 4, logical clock: 47
2025-03-05 16:33:08,638 - RECEIVE event, queue length: 6, logical clock: 48
2025-03-05 16:33:09,641 - RECEIVE event, queue length: 8, logical clock: 59
2025-03-05 16:33:10,646 - RECEIVE event, queue length: 8, logical clock: 64
2025-03-05 16:33:11,650 - RECEIVE event, queue length: 8, logical clock: 73
2025-03-05 16:33:12,656 - RECEIVE event, queue length: 9, logical clock: 79
2025-03-05 16:33:13,657 - RECEIVE event, queue length: 11, logical clock: 80
2025-03-05 16:33:14,662 - RECEIVE event, queue length: 13, logical clock: 81
2025-03-05 16:33:15,667 - RECEIVE event, queue length: 13, logical clock: 85
2025-03-05 16:33:16,672 - RECEIVE event, queue length: 12, logical clock: 86
2025-03-05 16:33:17,677 - RECEIVE event, queue length: 13, logical clock: 89
2025-03-05 16:33:18,682 - RECEIVE event, queue length: 16, logical clock: 92
2025-03-05 16:33:19,684 - RECEIVE event, queue length: 16, logical clock: 98
2025-03-05 16:33:20,685 - RECEIVE event, queue length: 18, logical clock: 104
2025-03-05 16:33:21,689 - RECEIVE event, queue length: 18, logical clock: 105
2025-03-05 16:33:22,693 - RECEIVE event, queue length: 19, logical clock: 108
2025-03-05 16:33:23,698 - RECEIVE event, queue length: 18, logical clock: 109
2025-03-05 16:33:24,703 - RECEIVE event, queue length: 20, logical clock: 113
2025-03-05 16:33:25,704 - RECEIVE event, queue length: 21, logical clock: 116
2025-03-05 16:33:26,708 - RECEIVE event, queue length: 21, logical clock: 118
2025-03-05 16:33:27,709 - RECEIVE event, queue length: 20, logical clock: 119
2025-03-05 16:33:28,714 - RECEIVE event, queue length: 19, logical clock: 124
2025-03-05 16:33:29,719 - RECEIVE event, queue length: 19, logical clock: 131
2025-03-05 16:33:30,724 - RECEIVE event, queue length: 20, logical clock: 133
2025-03-05 16:33:31,729 - RECEIVE event, queue length: 19, logical clock: 134
2025-03-05 16:33:32,733 - RECEIVE event, queue length: 19, logical clock: 139
2025-03-05 16:33:33,738 - RECEIVE event, queue length: 19, logical clock: 141
2025-03-05 16:33:34,738 - RECEIVE event, queue length: 21, logical clock: 142
2025-03-05 16:33:35,743 - RECEIVE event, queue length: 21, logical clock: 146
2025-03-05 16:33:36,748 - RECEIVE event, queue length: 21, logical clock: 150
2025-03-05 16:33:37,751 - RECEIVE event, queue length: 22, logical clock: 151
2025-03-05 16:33:38,756 - RECEIVE event, queue length: 21, logical clock: 153
2025-03-05 16:33:39,756 - RECEIVE event, queue length: 21, logical clock: 159
2025-03-05 16:33:40,761 - RECEIVE event, queue length: 21, logical clock: 165
2025-03-05 16:33:41,766 - RECEIVE event, queue length: 21, logical clock: 166
2025-03-05 16:33:42,766 - RECEIVE event, queue length: 20, logical clock: 173
2025-03-05 16:33:43,771 - RECEIVE event, queue length: 19, logical clock: 174
2025-03-05 16:33:44,776 - RECEIVE event, queue length: 20, logical clock: 175
2025-03-05 16:33:45,780 - RECEIVE event, queue length: 20, logical clock: 183
2025-03-05 16:33:46,785 - RECEIVE event, queue length: 20, logical clock: 184
2025-03-05 16:33:47,790 - RECEIVE event, queue length: 20, logical clock: 186
2025-03-05 16:33:48,795 - RECEIVE event, queue length: 21, logical clock: 203
2025-03-05 16:33:49,800 - RECEIVE event, queue length: 21, logical clock: 209
2025-03-05 16:33:50,804 - RECEIVE event, queue length: 22, logical clock: 210
2025-03-05 16:33:51,808 - RECEIVE event, queue length: 21, logical clock: 224
2025-03-05 16:33:52,549 - Machine 0 stopped. Final logical clock: 224
