2025-03-05 16:32:54,573 - Connected to machine on port 5001
2025-03-05 16:32:54,579 - Connected to machine on port 5002
2025-03-05 16:32:54,580 - Machine 2 starting with clock rate 6
2025-03-05 16:32:54,581 - INTERNAL event, logical clock: 1
2025-03-05 16:32:54,753 - RECEIVE event, queue length: 1, logical clock: 2
2025-03-05 16:32:54,925 - RECEIVE event, queue length: 0, logical clock: 3
2025-03-05 16:32:55,096 - INTERNAL event, logical clock: 4
2025-03-05 16:32:55,264 - INTERNAL event, logical clock: 5
2025-03-05 16:32:55,435 - SEND event to ALL machines, logical clock: 6
2025-03-05 16:32:55,607 - INTERNAL event, logical clock: 7
2025-03-05 16:32:55,779 - SEND event to port 5002, logical clock: 8
2025-03-05 16:32:55,948 - INTERNAL event, logical clock: 9
2025-03-05 16:32:56,120 - INTERNAL event, logical clock: 10
2025-03-05 16:32:56,287 - INTERNAL event, logical clock: 11
2025-03-05 16:32:56,459 - SEND event to port 5002, logical clock: 12
2025-03-05 16:32:56,629 - INTERNAL event, logical clock: 13
2025-03-05 16:32:56,801 - INTERNAL event, logical clock: 14
2025-03-05 16:32:56,972 - INTERNAL event, logical clock: 15
2025-03-05 16:32:57,143 - INTERNAL event, logical clock: 16
2025-03-05 16:32:57,315 - SEND event to ALL machines, logical clock: 17
2025-03-05 16:32:57,483 - INTERNAL event, logical clock: 18
2025-03-05 16:32:57,653 - INTERNAL event, logical clock: 19
2025-03-05 16:32:57,822 - INTERNAL event, logical clock: 20
2025-03-05 16:32:57,994 - INTERNAL event, logical clock: 21
2025-03-05 16:32:58,166 - INTERNAL event, logical clock: 22
2025-03-05 16:32:58,333 - INTERNAL event, logical clock: 23
2025-03-05 16:32:58,504 - INTERNAL event, logical clock: 24
2025-03-05 16:32:58,676 - RECEIVE event, queue length: 0, logical clock: 25
2025-03-05 16:32:58,843 - SEND event to port 5001, logical clock: 26
2025-03-05 16:32:59,015 - INTERNAL event, logical clock: 27
2025-03-05 16:32:59,187 - SEND event to ALL machines, logical clock: 28
2025-03-05 16:32:59,358 - INTERNAL event, logical clock: 29
2025-03-05 16:32:59,525 - SEND event to port 5002, logical clock: 30
2025-03-05 16:32:59,696 - SEND event to port 5001, logical clock: 31
2025-03-05 16:32:59,868 - INTERNAL event, logical clock: 32
2025-03-05 16:33:00,038 - INTERNAL event, logical clock: 33
2025-03-05 16:33:00,207 - INTERNAL event, logical clock: 34
2025-03-05 16:33:00,379 - RECEIVE event, queue length: 0, logical clock: 35
2025-03-05 16:33:00,549 - INTERNAL event, logical clock: 36
2025-03-05 16:33:00,721 - RECEIVE event, queue length: 0, logical clock: 37
2025-03-05 16:33:00,893 - INTERNAL event, logical clock: 38
2025-03-05 16:33:01,061 - SEND event to ALL machines, logical clock: 39
2025-03-05 16:33:01,232 - INTERNAL event, logical clock: 40
2025-03-05 16:33:01,404 - SEND event to port 5001, logical clock: 41
2025-03-05 16:33:01,575 - INTERNAL event, logical clock: 42
2025-03-05 16:33:01,746 - INTERNAL event, logical clock: 43
2025-03-05 16:33:01,918 - SEND event to port 5001, logical clock: 44
2025-03-05 16:33:02,090 - SEND event to port 5001, logical clock: 45
2025-03-05 16:33:02,258 - SEND event to port 5001, logical clock: 46
2025-03-05 16:33:02,429 - SEND event to port 5001, logical clock: 47
2025-03-05 16:33:02,596 - INTERNAL event, logical clock: 48
2025-03-05 16:33:02,766 - INTERNAL event, logical clock: 49
2025-03-05 16:33:02,937 - INTERNAL event, logical clock: 50
2025-03-05 16:33:03,108 - INTERNAL event, logical clock: 51
2025-03-05 16:33:03,279 - INTERNAL event, logical clock: 52
2025-03-05 16:33:03,450 - INTERNAL event, logical clock: 53
2025-03-05 16:33:03,622 - INTERNAL event, logical clock: 54
2025-03-05 16:33:03,790 - INTERNAL event, logical clock: 55
2025-03-05 16:33:03,961 - INTERNAL event, logical clock: 56
2025-03-05 16:33:04,130 - INTERNAL event, logical clock: 57
2025-03-05 16:33:04,298 - SEND event to ALL machines, logical clock: 58
2025-03-05 16:33:04,470 - INTERNAL event, logical clock: 59
2025-03-05 16:33:04,641 - INTERNAL event, logical clock: 60
2025-03-05 16:33:04,813 - SEND event to port 5002, logical clock: 61
2025-03-05 16:33:04,985 - SEND event to port 5002, logical clock: 62
2025-03-05 16:33:05,157 - SEND event to ALL machines, logical clock: 63
2025-03-05 16:33:05,328 - INTERNAL event, logical clock: 64
2025-03-05 16:33:05,500 - INTERNAL event, logical clock: 65
2025-03-05 16:33:05,670 - SEND event to port 5002, logical clock: 66
2025-03-05 16:33:05,842 - SEND event to port 5002, logical clock: 67
2025-03-05 16:33:06,011 - INTERNAL event, logical clock: 68
2025-03-05 16:33:06,183 - INTERNAL event, logical clock: 69
2025-03-05 16:33:06,355 - INTERNAL event, logical clock: 70
2025-03-05 16:33:06,526 - INTERNAL event, logical clock: 71
2025-03-05 16:33:06,696 - SEND event to ALL machines, logical clock: 72
2025-03-05 16:33:06,863 - INTERNAL event, logical clock: 73
2025-03-05 16:33:07,035 - INTERNAL event, logical clock: 74
2025-03-05 16:33:07,206 - INTERNAL event, logical clock: 75
2025-03-05 16:33:07,375 - INTERNAL event, logical clock: 76
2025-03-05 16:33:07,545 - INTERNAL event, logical clock: 77
2025-03-05 16:33:07,713 - SEND event to port 5001, logical clock: 78
2025-03-05 16:33:07,884 - RECEIVE event, queue length: 0, logical clock: 79
2025-03-05 16:33:08,056 - INTERNAL event, logical clock: 80
2025-03-05 16:33:08,224 - SEND event to port 5002, logical clock: 81
2025-03-05 16:33:08,395 - INTERNAL event, logical clock: 82
2025-03-05 16:33:08,567 - INTERNAL event, logical clock: 83
2025-03-05 16:33:08,739 - SEND event to port 5001, logical clock: 84
2025-03-05 16:33:08,907 - INTERNAL event, logical clock: 85
2025-03-05 16:33:09,079 - INTERNAL event, logical clock: 86
2025-03-05 16:33:09,251 - RECEIVE event, queue length: 0, logical clock: 87
2025-03-05 16:33:09,423 - SEND event to ALL machines, logical clock: 88
2025-03-05 16:33:09,592 - INTERNAL event, logical clock: 89
2025-03-05 16:33:09,764 - INTERNAL event, logical clock: 90
2025-03-05 16:33:09,936 - SEND event to port 5001, logical clock: 91
2025-03-05 16:33:10,103 - INTERNAL event, logical clock: 92
2025-03-05 16:33:10,275 - SEND event to port 5002, logical clock: 93
2025-03-05 16:33:10,441 - INTERNAL event, logical clock: 94
2025-03-05 16:33:10,611 - INTERNAL event, logical clock: 95
2025-03-05 16:33:10,780 - INTERNAL event, logical clock: 96
2025-03-05 16:33:10,951 - SEND event to port 5001, logical clock: 97
2025-03-05 16:33:11,121 - INTERNAL event, logical clock: 98
2025-03-05 16:33:11,293 - INTERNAL event, logical clock: 99
2025-03-05 16:33:11,461 - INTERNAL event, logical clock: 100
2025-03-05 16:33:11,633 - INTERNAL event, logical clock: 101
2025-03-05 16:33:11,805 - INTERNAL event, logical clock: 102
2025-03-05 16:33:11,976 - SEND event to port 5001, logical clock: 103
2025-03-05 16:33:12,148 - INTERNAL event, logical clock: 104
2025-03-05 16:33:12,320 - INTERNAL event, logical clock: 105
2025-03-05 16:33:12,488 - INTERNAL event, logical clock: 106
2025-03-05 16:33:12,657 - SEND event to port 5001, logical clock: 107
2025-03-05 16:33:12,825 - RECEIVE event, queue length: 0, logical clock: 108
2025-03-05 16:33:12,996 - INTERNAL event, logical clock: 109
2025-03-05 16:33:13,168 - INTERNAL event, logical clock: 110
2025-03-05 16:33:13,340 - INTERNAL event, logical clock: 111
2025-03-05 16:33:13,511 - SEND event to port 5001, logical clock: 112
2025-03-05 16:33:13,679 - INTERNAL event, logical clock: 113
2025-03-05 16:33:13,849 - RECEIVE event, queue length: 0, logical clock: 114
2025-03-05 16:33:14,021 - SEND event to port 5001, logical clock: 115
2025-03-05 16:33:14,190 - INTERNAL event, logical clock: 116
2025-03-05 16:33:14,362 - SEND event to port 5001, logical clock: 117
2025-03-05 16:33:14,533 - RECEIVE event, queue length: 0, logical clock: 118
2025-03-05 16:33:14,704 - INTERNAL event, logical clock: 119
