2025-03-05 16:34:00,918 - Connected to machine on port 5002
2025-03-05 16:34:00,927 - Connected to machine on port 5003
2025-03-05 16:34:00,928 - Machine 0 starting with clock rate 1
2025-03-05 16:34:00,928 - SEND event to ALL machines, logical clock: 1
2025-03-05 16:34:01,933 - RECEIVE event, queue length: 0, logical clock: 6
2025-03-05 16:34:02,938 - RECEIVE event, queue length: 1, logical clock: 8
2025-03-05 16:34:03,942 - RECEIVE event, queue length: 2, logical clock: 13
2025-03-05 16:34:04,947 - RECEIVE event, queue length: 3, logical clock: 14
2025-03-05 16:34:05,952 - RECEIVE event, queue length: 3, logical clock: 15
2025-03-05 16:34:06,957 - RECEIVE event, queue length: 7, logical clock: 20
2025-03-05 16:34:07,960 - RECEIVE event, queue length: 10, logical clock: 25
2025-03-05 16:34:08,965 - RECEIVE event, queue length: 12, logical clock: 29
2025-03-05 16:34:09,966 - RECEIVE event, queue length: 15, logical clock: 31
2025-03-05 16:34:10,971 - RECEIVE event, queue length: 15, logical clock: 32
2025-03-05 16:34:11,973 - RECEIVE event, queue length: 16, logical clock: 33
2025-03-05 16:34:12,978 - RECEIVE event, queue length: 18, logical clock: 34
2025-03-05 16:34:13,979 - RECEIVE event, queue length: 19, logical clock: 36
2025-03-05 16:34:14,983 - RECEIVE event, queue length: 21, logical clock: 39
2025-03-05 16:34:15,988 - RECEIVE event, queue length: 22, logical clock: 41
2025-03-05 16:34:16,992 - RECEIVE event, queue length: 26, logical clock: 42
2025-03-05 16:34:17,994 - RECEIVE event, queue length: 28, logical clock: 43
2025-03-05 16:34:18,995 - RECEIVE event, queue length: 29, logical clock: 44
2025-03-05 16:34:20,000 - RECEIVE event, queue length: 33, logical clock: 45
2025-03-05 16:34:21,005 - RECEIVE event, queue length: 35, logical clock: 46
2025-03-05 16:34:22,010 - RECEIVE event, queue length: 37, logical clock: 50
2025-03-05 16:34:23,015 - RECEIVE event, queue length: 38, logical clock: 52
2025-03-05 16:34:24,020 - RECEIVE event, queue length: 39, logical clock: 53
2025-03-05 16:34:25,025 - RECEIVE event, queue length: 40, logical clock: 55
2025-03-05 16:34:26,026 - RECEIVE event, queue length: 41, logical clock: 56
2025-03-05 16:34:27,031 - RECEIVE event, queue length: 42, logical clock: 62
2025-03-05 16:34:28,036 - RECEIVE event, queue length: 44, logical clock: 66
2025-03-05 16:34:29,041 - RECEIVE event, queue length: 45, logical clock: 69
2025-03-05 16:34:30,046 - RECEIVE event, queue length: 45, logical clock: 70
2025-03-05 16:34:31,051 - RECEIVE event, queue length: 46, logical clock: 71
2025-03-05 16:34:32,056 - RECEIVE event, queue length: 48, logical clock: 73
2025-03-05 16:34:33,059 - RECEIVE event, queue length: 48, logical clock: 75
2025-03-05 16:34:34,062 - RECEIVE event, queue length: 49, logical clock: 76
2025-03-05 16:34:35,067 - RECEIVE event, queue length: 51, logical clock: 77
2025-03-05 16:34:36,069 - RECEIVE event, queue length: 52, logical clock: 84
2025-03-05 16:34:37,074 - RECEIVE event, queue length: 54, logical clock: 86
2025-03-05 16:34:38,079 - RECEIVE event, queue length: 57, logical clock: 89
2025-03-05 16:34:39,084 - RECEIVE event, queue length: 60, logical clock: 90
2025-03-05 16:34:40,086 - RECEIVE event, queue length: 63, logical clock: 91
2025-03-05 16:34:41,090 - RECEIVE event, queue length: 62, logical clock: 92
2025-03-05 16:34:42,094 - RECEIVE event, queue length: 64, logical clock: 95
2025-03-05 16:34:43,098 - RECEIVE event, queue length: 65, logical clock: 96
2025-03-05 16:34:44,102 - RECEIVE event, queue length: 68, logical clock: 97
2025-03-05 16:34:45,102 - RECEIVE event, queue length: 70, logical clock: 99
2025-03-05 16:34:46,106 - RECEIVE event, queue length: 74, logical clock: 100
2025-03-05 16:34:47,112 - RECEIVE event, queue length: 77, logical clock: 104
2025-03-05 16:34:48,116 - RECEIVE event, queue length: 78, logical clock: 107
2025-03-05 16:34:49,116 - RECEIVE event, queue length: 78, logical clock: 108
2025-03-05 16:34:50,121 - RECEIVE event, queue length: 79, logical clock: 109
2025-03-05 16:34:51,123 - RECEIVE event, queue length: 82, logical clock: 110
2025-03-05 16:34:52,128 - RECEIVE event, queue length: 82, logical clock: 111
2025-03-05 16:34:53,134 - RECEIVE event, queue length: 84, logical clock: 112
2025-03-05 16:34:54,135 - RECEIVE event, queue length: 85, logical clock: 114
2025-03-05 16:34:55,137 - RECEIVE event, queue length: 85, logical clock: 115
2025-03-05 16:34:56,141 - RECEIVE event, queue length: 87, logical clock: 118
2025-03-05 16:34:57,146 - RECEIVE event, queue length: 88, logical clock: 120
2025-03-05 16:34:58,151 - RECEIVE event, queue length: 89, logical clock: 122
2025-03-05 16:34:58,903 - Machine 0 stopped. Final logical clock: 122
