2025-03-05 16:36:15,285 - Connected to machine on port 5002
2025-03-05 16:36:15,293 - Connected to machine on port 5003
2025-03-05 16:36:15,294 - Machine 0 starting with clock rate 1
2025-03-05 16:36:15,296 - SEND event to port 5003, logical clock: 1
2025-03-05 16:36:16,297 - RECEIVE event, queue length: 0, logical clock: 8
2025-03-05 16:36:17,301 - RECEIVE event, queue length: 2, logical clock: 10
2025-03-05 16:36:18,306 - RECEIVE event, queue length: 6, logical clock: 13
2025-03-05 16:36:19,311 - RECEIVE event, queue length: 7, logical clock: 14
2025-03-05 16:36:20,314 - RECEIVE event, queue length: 10, logical clock: 15
2025-03-05 16:36:21,319 - RECEIVE event, queue length: 14, logical clock: 16
2025-03-05 16:36:22,324 - RECEIVE event, queue length: 17, logical clock: 17
2025-03-05 16:36:23,328 - RECEIVE event, queue length: 19, logical clock: 19
2025-03-05 16:36:24,333 - RECEIVE event, queue length: 21, logical clock: 20
2025-03-05 16:36:25,337 - RECEIVE event, queue length: 24, logical clock: 23
2025-03-05 16:36:26,342 - RECEIVE event, queue length: 27, logical clock: 25
2025-03-05 16:36:27,345 - RECEIVE event, queue length: 30, logical clock: 28
2025-03-05 16:36:28,350 - RECEIVE event, queue length: 33, logical clock: 29
2025-03-05 16:36:29,355 - RECEIVE event, queue length: 35, logical clock: 30
2025-03-05 16:36:30,360 - RECEIVE event, queue length: 38, logical clock: 31
2025-03-05 16:36:31,364 - RECEIVE event, queue length: 42, logical clock: 34
2025-03-05 16:36:32,369 - RECEIVE event, queue length: 45, logical clock: 35
2025-03-05 16:36:33,374 - RECEIVE event, queue length: 49, logical clock: 36
2025-03-05 16:36:34,378 - RECEIVE event, queue length: 51, logical clock: 37
2025-03-05 16:36:35,381 - RECEIVE event, queue length: 54, logical clock: 38
2025-03-05 16:36:36,382 - RECEIVE event, queue length: 56, logical clock: 39
2025-03-05 16:36:37,387 - RECEIVE event, queue length: 61, logical clock: 40
2025-03-05 16:36:38,392 - RECEIVE event, queue length: 62, logical clock: 41
2025-03-05 16:36:39,397 - RECEIVE event, queue length: 65, logical clock: 44
2025-03-05 16:36:40,402 - RECEIVE event, queue length: 66, logical clock: 45
2025-03-05 16:36:41,403 - RECEIVE event, queue length: 71, logical clock: 46
2025-03-05 16:36:42,408 - RECEIVE event, queue length: 70, logical clock: 48
2025-03-05 16:36:43,409 - RECEIVE event, queue length: 72, logical clock: 52
2025-03-05 16:36:44,414 - RECEIVE event, queue length: 73, logical clock: 54
2025-03-05 16:36:45,416 - RECEIVE event, queue length: 77, logical clock: 55
2025-03-05 16:36:46,421 - RECEIVE event, queue length: 82, logical clock: 57
2025-03-05 16:36:47,426 - RECEIVE event, queue length: 83, logical clock: 59
2025-03-05 16:36:48,429 - RECEIVE event, queue length: 85, logical clock: 60
2025-03-05 16:36:49,431 - RECEIVE event, queue length: 86, logical clock: 61
2025-03-05 16:36:50,435 - RECEIVE event, queue length: 88, logical clock: 62
2025-03-05 16:36:51,439 - RECEIVE event, queue length: 90, logical clock: 65
2025-03-05 16:36:52,440 - RECEIVE event, queue length: 91, logical clock: 66
2025-03-05 16:36:53,445 - RECEIVE event, queue length: 93, logical clock: 67
2025-03-05 16:36:54,450 - RECEIVE event, queue length: 95, logical clock: 70
2025-03-05 16:36:55,453 - RECEIVE event, queue length: 98, logical clock: 71
2025-03-05 16:36:56,458 - RECEIVE event, queue length: 100, logical clock: 72
2025-03-05 16:36:57,463 - RECEIVE event, queue length: 103, logical clock: 73
2025-03-05 16:36:58,466 - RECEIVE event, queue length: 107, logical clock: 75
2025-03-05 16:36:59,469 - RECEIVE event, queue length: 109, logical clock: 76
2025-03-05 16:37:00,470 - RECEIVE event, queue length: 111, logical clock: 77
2025-03-05 16:37:01,473 - RECEIVE event, queue length: 115, logical clock: 78
2025-03-05 16:37:02,478 - RECEIVE event, queue length: 118, logical clock: 80
2025-03-05 16:37:03,479 - RECEIVE event, queue length: 121, logical clock: 81
2025-03-05 16:37:04,484 - RECEIVE event, queue length: 124, logical clock: 85
2025-03-05 16:37:05,490 - RECEIVE event, queue length: 127, logical clock: 86
2025-03-05 16:37:06,494 - RECEIVE event, queue length: 130, logical clock: 88
2025-03-05 16:37:07,499 - RECEIVE event, queue length: 132, logical clock: 89
2025-03-05 16:37:08,502 - RECEIVE event, queue length: 133, logical clock: 91
2025-03-05 16:37:09,504 - RECEIVE event, queue length: 135, logical clock: 92
2025-03-05 16:37:10,509 - RECEIVE event, queue length: 138, logical clock: 94
2025-03-05 16:37:11,514 - RECEIVE event, queue length: 142, logical clock: 95
2025-03-05 16:37:12,519 - RECEIVE event, queue length: 144, logical clock: 96
2025-03-05 16:37:13,272 - Machine 0 stopped. Final logical clock: 96
